PROBA_SKLEARN,PROBA_PORTABLE,DIF_ABS
0.08875399333441608,0.08875399333441604,4.163336342344337e-17
0.09123441833124611,0.09123441833124613,1.3877787807814457e-17
0.23923108980232097,0.23923108980232108,1.1102230246251565e-16
0.10523774581183076,0.10523774581183078,1.3877787807814457e-17
0.09217470927553716,0.0921747092755372,4.163336342344337e-17
0.06669365614515928,0.06669365614515928,0.0
0.09221445448518813,0.09221445448518809,4.163336342344337e-17
0.27719155515987315,0.2771915551598733,1.6653345369377348e-16
0.07866295089532062,0.07866295089532058,4.163336342344337e-17
0.18992704605922045,0.18992704605922048,2.7755575615628914e-17
0.049731137891259374,0.04973113789125938,6.938893903907228e-18
0.1460618971482358,0.1460618971482358,0.0
0.054802491586099754,0.054802491586099795,4.163336342344337e-17
0.07157153455413844,0.07157153455413849,5.551115123125783e-17
0.14784862544820776,0.14784862544820787,1.1102230246251565e-16
0.1631486010926866,0.1631486010926867,8.326672684688674e-17
0.06000548243887849,0.060005482438878516,2.7755575615628914e-17
0.0854045244955753,0.08540452449557533,2.7755575615628914e-17
0.26597908581154805,0.26597908581154805,0.0
0.034463640671783875,0.03446364067178387,6.938893903907228e-18
0.1442720730654145,0.14427207306541445,5.551115123125783e-17
0.09691610981304065,0.09691610981304064,1.3877787807814457e-17
0.10861643054350825,0.10861643054350821,4.163336342344337e-17
0.2345113425303055,0.23451134253030553,2.7755575615628914e-17
0.053615074047650035,0.053615074047650084,4.85722573273506e-17
0.08075844956886946,0.08075844956886948,1.3877787807814457e-17
0.1277673809611951,0.12776738096119514,2.7755575615628914e-17
0.08266102795628051,0.08266102795628055,4.163336342344337e-17
0.2500941123816775,0.2500941123816775,0.0
0.06279775828598498,0.06279775828598495,2.7755575615628914e-17
0.17265306773372968,0.17265306773372965,2.7755575615628914e-17
0.09413924537846532,0.09413924537846526,6.938893903907228e-17
0.3527500305683463,0.3527500305683461,2.220446049250313e-16
0.058120704766943046,0.058120704766943095,4.85722573273506e-17
0.35561241525607806,0.3556124152560781,5.551115123125783e-17
0.18377708841750787,0.1837770884175078,5.551115123125783e-17
0.23802041837234506,0.23802041837234497,8.326672684688674e-17
0.16381432486294203,0.163814324862942,2.7755575615628914e-17
0.07585386731283071,0.07585386731283068,2.7755575615628914e-17
0.10015373778301918,0.1001537377830192,1.3877787807814457e-17
0.07555145820395773,0.07555145820395766,6.938893903907228e-17
0.15303669349034973,0.15303669349034985,1.1102230246251565e-16
0.040655492990659896,0.04065549299065994,4.163336342344337e-17
0.06247491555458,0.062474915554579985,1.3877787807814457e-17
