COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COD_END;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INICIO_VIG;FIM_VIG;TIPO_FRANQ;VAL_FRANQ;AREA_SEG;IMP_SEG;PREMIO;PREMIO_SUB;ORIGEM_SUB;CORRETAGEM;PERC_CARR;PERC_DESC
296678543;8639680;13755465;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;39284.0;MG;20200103.0;20210102.0;4.0;0.0;0.0;55840.4;2050.67;0.0;00;512.66;25.0;0.0
289707920;509928;1634181;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;313672.0;163.12;0.0;00;48.94;0.0;0.0
289707920;509928;1634245;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;115326.0;59.97;0.0;00;17.99;0.0;0.0
296678543;8639680;13755477;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;57383.0;MA;20200103.0;20210102.0;9.0;0.0;0.0;48587.76;379.92;0.0;00;94.98;25.0;0.0
296678543;8639680;13755477;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;57383.0;MA;20200103.0;20210102.0;4.0;0.0;0.0;48587.76;379.92;0.0;00;94.98;25.0;0.0
289707920;509928;1608286;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;39938.0;20.77;0.0;00;6.23;0.0;0.0
289707920;509928;1608256;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;28495.0;14.81;0.0;00;4.44;0.0;0.0
289707920;509928;1633974;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;58462.0;30.4;0.0;00;9.12;0.0;0.0
289707920;509923;1576029;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;20165.0;10.84;0.0;00;3.25;0.0;0.0
289707920;509928;1634001;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;59559.0;30.97;0.0;00;9.29;0.0;0.0
289707920;509928;1634018;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;102091.0;53.09;0.0;00;15.93;0.0;0.0
289707920;509935;1782704;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;64683.0;34.76;0.0;00;10.43;0.0;0.0
296678543;8639680;13866173;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;9812.0;SC;20200422.0;20210422.0;9.0;0.0;0.0;11655.84;56.53;0.0;00;14.13;25.0;0.0
296678543;8639680;13866173;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;9812.0;SC;20200422.0;20210422.0;4.0;0.0;0.0;11655.84;56.53;0.0;00;14.13;25.0;0.0
296678543;8639680;13866173;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;9812.0;SC;20200422.0;20210422.0;9.0;0.0;0.0;600.0;56.53;0.0;00;14.13;25.0;0.0
296678543;8639680;13866173;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;9812.0;SC;20200422.0;20210422.0;4.0;0.0;0.0;600.0;56.53;0.0;00;14.13;25.0;0.0
296678543;8639680;13869296;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;10942.0;RS;20200424.0;20210424.0;9.0;0.0;0.0;2434.21;11.81;0.0;00;2.95;25.0;0.0
296678543;8639680;13869296;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;10942.0;RS;20200424.0;20210424.0;4.0;0.0;0.0;2434.21;11.81;0.0;00;2.95;25.0;0.0
296678543;8639680;13869296;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;10942.0;RS;20200424.0;20210424.0;9.0;0.0;0.0;600.0;11.8;0.0;00;2.95;25.0;0.0
296678543;8639680;13869296;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;10942.0;RS;20200424.0;20210424.0;4.0;0.0;0.0;600.0;11.8;0.0;00;2.95;25.0;0.0
296678543;8639680;13861773;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;30207.0;MG;20200417.0;20210417.0;9.0;0.0;0.0;100000.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13861773;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;30207.0;MG;20200417.0;20210417.0;4.0;0.0;0.0;100000.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13861773;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;30207.0;MG;20200417.0;20210417.0;9.0;0.0;0.0;600.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13861773;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;30207.0;MG;20200417.0;20210417.0;4.0;0.0;0.0;600.0;391.0;0.0;00;97.75;25.0;0.0
296678543;8639680;13895300;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;3911.0;MS;20200516.0;20210516.0;9.0;0.0;0.0;20113.05;97.55;0.0;00;24.39;25.0;0.0
296678543;8639680;13895300;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;3911.0;MS;20200516.0;20210516.0;4.0;0.0;0.0;20113.05;97.55;0.0;00;24.39;25.0;0.0
296678543;8639680;13895300;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;3911.0;MS;20200516.0;20210516.0;9.0;0.0;0.0;600.0;97.54;0.0;00;24.38;25.0;0.0
289707920;509922;1542981;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;26057.0;14.01;0.0;00;4.2;0.0;0.0
289707920;509922;1512792;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;236458.0;127.07;0.0;00;38.12;0.0;0.0
289707920;509936;1709577;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;42916.0;23.06;0.0;00;6.92;0.0;0.0
296678543;8639680;13895300;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;3911.0;MS;20200516.0;20210516.0;4.0;0.0;0.0;600.0;97.54;0.0;00;24.38;25.0;0.0
289707920;509929;1666434;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;92016.0;47.85;0.0;00;14.35;0.0;0.0
