COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INDENIZ;DESP_SIN;EV_GER;VAL_FRANQ;D_AVISO;D_LIQ;D_OCORR_IN;D_OCORR_FI
292890825;4623570;7454952;2021;S;70;60;80;99999999.0;34942.0;MS;17555.9;0.0;99;10.0;20210310;20210503;20210309;20210309
292893817;4626713;7459608;2021;S;10;99;999;99999999.0;29191.0;PR;11295.83;0.0;8;10.0;20200727;20200923;20200415;20200415
292893914;4626823;7459758;2021;S;10;99;999;99999999.0;19871.0;PR;1398.48;0.0;8;10.0;20200715;20201009;20200315;20200315
292894012;4626931;7459915;2021;S;10;99;999;99999999.0;22521.0;PR;15426.56;0.0;8;10.0;20200804;20201109;20200401;20200401
292894015;4626934;7459919;2021;S;10;99;999;99999999.0;4525.0;PR;1092.59;0.0;8;10.0;20200730;20201020;20200310;20200310
292894029;4626949;7459936;2021;S;10;99;999;99999999.0;43830.0;GO;28930.5;0.0;8;10.0;20200720;20200930;20200430;20200430
292894048;4626969;7459959;2021;S;10;99;999;99999999.0;4525.0;PR;2943.48;0.0;8;10.0;20200729;20201022;20200301;20200301
292894303;4627242;7460350;2021;S;10;99;999;99999999.0;45728.0;PR;88013.64;0.0;8;10.0;20200831;20201015;20200817;20200817
292894418;4627373;7460539;2021;S;10;99;999;99999999.0;30472.0;PR;12175.13;0.0;8;10.0;20200729;20201009;20200727;20200727
292894418;4627373;7460541;2021;S;10;99;999;99999999.0;30472.0;PR;5301.84;0.0;8;10.0;20200729;20201009;20200727;20200727
292894476;4627433;7460631;2021;S;10;99;999;99999999.0;27698.0;PR;39715.2;0.0;8;10.0;20200908;20201022;20200510;20200510
292894523;4627489;7460702;2021;S;10;99;10;99999999.0;2895.0;PR;9030.71;0.0;99;10.0;20200929;20201116;20200927;20200927
292894547;4627513;7460739;2021;S;10;99;20;99999999.0;36438.0;PR;30144.91;0.0;99;10.0;20200824;20210326;20200822;20200822
292894567;4627534;7460769;2021;S;10;99;20;99999999.0;52553.0;RS;29560.06;0.0;99;10.0;20200730;20201022;20200720;20200720
292894577;4627545;7460792;2021;S;10;99;20;99999999.0;52553.0;RS;44152.14;0.0;99;10.0;20200730;20201021;20200720;20200720
292894582;4627551;7460797;2021;S;10;99;20;99999999.0;52553.0;RS;23270.0;0.0;99;10.0;20200730;20201015;20200720;20200720
292894592;4627563;7460809;2021;S;10;99;999;99999999.0;51468.0;MT;142224.67;0.0;8;10.0;20200707;20201020;20200410;20200410
292894636;4627609;7460897;2021;S;10;99;999;99999999.0;36438.0;PR;442.22;0.0;8;10.0;20201117;20210212;20201101;20201101
292894644;4627617;7460922;2021;S;10;99;999;99999999.0;27698.0;PR;5495.34;0.0;8;10.0;20200916;20201207;20200510;20200510
292894779;4627774;7461142;2021;S;10;99;20;99999999.0;10832.0;RS;9600.0;0.0;99;10.0;20200821;20210218;20200821;20200821
292894846;4627859;7461234;2021;S;10;99;20;99999999.0;10832.0;RS;3902.4;0.0;99;10.0;20200921;20210302;20200921;20200921
292894886;4627910;7461298;2021;S;10;99;20;99999999.0;10832.0;RS;18849.6;0.0;99;10.0;20200821;20210218;20200821;20200821
292895008;4628044;7461570;2021;S;10;99;999;99999999.0;30953.0;PR;1415.2;0.0;8;10.0;20200918;20210210;20200915;20200915
292895038;4628076;7461607;2021;S;10;99;20;99999999.0;10832.0;RS;39933.0;0.0;99;10.0;20200921;20201113;20200921;20200921
292895095;4628144;7461682;2021;S;10;99;20;99999999.0;10832.0;RS;5190.0;0.0;99;10.0;20200923;20210310;20200921;20200921
292895104;4628153;7461693;2021;S;10;99;20;99999999.0;10832.0;RS;1792.0;0.0;99;10.0;20200821;20210208;20200821;20200821
292895116;4628168;7461708;2021;S;10;99;999;99999999.0;22521.0;PR;23336.17;0.0;99;10.0;20210222;20210507;20210115;20210115
292895397;4628470;7462167;2021;S;10;99;999;99999999.0;36438.0;PR;20559.82;0.0;8;10.0;20210115;20210420;20201105;20201105
292895554;4628645;7462407;2021;S;10;99;999;99999999.0;11147.0;PR;10037.77;0.0;8;10.0;20210111;20210406;20200911;20200911
292895629;4628739;7462523;2021;S;10;99;10;99999999.0;9128.0;SP;235908.42;0.0;99;10.0;20201019;20210120;20201019;20201019
292895629;4628739;7462523;2021;S;10;99;100;99999999.0;9128.0;SP;249253.33;0.0;1;10.0;20210502;20210610;20210430;20210430
292895670;4628797;7462594;2021;S;10;99;999;99999999.0;48756.0;PR;23183.12;0.0;99;10.0;20210202;20210507;20210114;20210114
292895702;4628839;7462637;2021;S;10;99;10;99999999.0;1690.0;MG;26285.4;0.0;99;10.0;20201010;20201116;20201009;20201009
292895721;4628859;7462658;2021;S;10;99;999;99999999.0;39569.0;PR;24666.0;0.0;8;10.0;20210305;20210517;20210130;20210130
292895780;4628925;7462757;2021;S;10;99;999;99999999.0;34942.0;MS;179759.19;0.0;8;10.0;20210413;20210428;20201210;20201210
292895823;4628977;7462833;2021;S;10;99;999;99999999.0;39851.0;MT;28107.13;0.0;99;10.0;20201202;20210208;20201118;20201118
292895823;4628977;7462837;2021;S;10;99;999;99999999.0;39851.0;MT;93025.47;0.0;8;10.0;20210323;20210906;20210301;20210301
292895996;22484410;7463152;2021;S;10;99;999;99999999.0;1528.0;RS;3515.51;0.0;99;10.0;20201215;20210115;20201024;20201024
292896000;4629184;7463158;2021;S;10;99;20;99999999.0;10832.0;RS;12876.93;0.0;99;10.0;20200921;20210317;20200921;20200921
292896144;4629342;7463385;2021;S;10;99;999;99999999.0;31718.0;RS;21964.64;0.0;8;10.0;20210331;20210622;20201205;20201205
292896391;22484411;7463890;2021;S;10;99;20;99999999.0;5861.0;RS;695.33;0.0;99;10.0;20200924;20210429;20200919;20200919
292896478;4629725;7464060;2021;S;10;99;999;99999999.0;30472.0;PR;23168.05;0.0;99;10.0;20210226;20210607;20210224;20210224
292896590;4629853;7464312;2021;S;10;99;10;99999999.0;28233.0;MG;350.0;0.0;99;10.0;20210413;20210507;20201217;20201217
292896590;4629853;7464316;2021;S;10;99;10;99999999.0;28233.0;MG;1200.0;0.0;99;10.0;20201218;20210331;20201217;20201217
292896590;4629853;7464320;2021;S;10;99;10;99999999.0;28233.0;MG;2950.0;0.0;99;10.0;20210413;20210507;20201217;20201217
292896590;4629853;7464328;2021;S;10;99;10;99999999.0;28233.0;MG;4849.99;0.0;99;10.0;20210414;20210507;20201217;20201217
292896590;4629853;7464331;2021;S;10;99;10;99999999.0;28233.0;MG;14300.0;0.0;99;10.0;20210414;20210507;20201217;20201217
292896590;4629853;7464334;2021;S;10;99;10;99999999.0;28233.0;MG;13950.0;0.0;99;10.0;20210414;20210507;20201217;20201217
292896667;4629939;7464500;2021;S;10;99;999;99999999.0;36438.0;PR;11925.21;0.0;99;10.0;20201028;20210224;20201027;20201027
292896820;22484415;7464717;2021;S;10;99;999;99999999.0;51585.0;MT;457405.96;0.0;99;10.0;20210223;20210729;20210130;20210130
